Designator,Mid X,Mid Y,Rotation,Layer
RV31,123.0105,-108.343,0.0,top
RV32,133.4245,-108.345,0.0,top
RV33,64.6715,-102.755,0.0,top
RV34,75.0855,-102.755,0.0,top
RV35,85.4995,-102.755,0.0,top
RV36,64.6715,-108.343,0.0,top
RV37,75.0855,-108.343,0.0,top
RV38,85.4995,-108.345,0.0,top
RV39,132.78,-69.0475,0.0,top
RV4,160.6715,-108.343,0.0,top
RV40,98.982,-50.81375,0.0,top
RV5,171.0855,-108.343,0.0,top
RV6,181.4995,-108.345,0.0,top
RV7,65.708,-83.32575,0.0,top
RV8,80.186,-83.32575,0.0,top
RV9,66.638,-53.67,0.0,top
TP1,160.0,-128.0,0.0,top
TP10,208.0,-143.5,0.0,top
TP11,223.0,-143.5,0.0,top
TP12,238.325,-143.5,0.0,top
TP13,111.925,-128.0,0.0,top
TP14,126.925,-128.0,0.0,top
TP15,142.25,-128.0,0.0,top
TP16,111.925,-143.5,0.0,top
TP17,126.925,-143.5,0.0,top
TP18,142.25,-143.5,0.0,top
TP19,64.0,-128.0,0.0,top
TP2,175.0,-128.0,0.0,top
TP20,79.0,-128.0,0.0,top
TP21,94.325,-128.0,0.0,top
TP22,64.0,-143.5,0.0,top
TP23,79.0,-143.5,0.0,top
TP24,94.325,-143.5,0.0,top
TP3,190.325,-128.0,0.0,top
TP4,160.0,-143.5,0.0,top
TP5,175.0,-143.5,0.0,top
TP6,190.325,-143.5,0.0,top
TP7,208.0,-128.0,0.0,top
TP8,223.0,-128.0,0.0,top
TP9,238.325,-128.0,0.0,top
U1,192.1675,-104.789,90.0,top
U10,83.528,-67.55475,270.0,top
U11,144.0925,-104.789,90.0,top
U12,96.1675,-104.789,90.0,top
U2,59.652,-67.30075,0.0,top
U3,240.1675,-104.789,90.0,top
U4,150.8136,-43.05415,0.0,top
U5,148.2005,-85.19275,180.0,top
U6,165.2429,-69.10175,180.0,top
U7,165.2702,-85.15475,180.0,top
U8,213.831,-71.792,180.0,top
U9,213.83,-85.216,180.0,top
